Datetime,Water Level (m)
2022-11-30 00:00:00,-0.35765782
2022-11-30 01:00:00,-0.599697
2022-11-30 02:00:00,-0.7009347
2022-11-30 03:00:00,-0.6854419
2022-11-30 04:00:00,-0.53410345
2022-11-30 05:00:00,-0.26634273
2022-11-30 06:00:00,0.029316671
2022-11-30 07:00:00,0.24232435
2022-11-30 08:00:00,0.3411711
2022-11-30 09:00:00,0.33206734
2022-11-30 10:00:00,0.2145317
2022-11-30 11:00:00,-0.010878555
2022-11-30 12:00:00,-0.2527419
2022-11-30 13:00:00,-0.43861866
2022-11-30 14:00:00,-0.52895075
2022-11-30 15:00:00,-0.5103716
2022-11-30 16:00:00,-0.37251756
2022-11-30 17:00:00,-0.1350681
2022-11-30 18:00:00,0.14207491
2022-11-30 19:00:00,0.40811726
2022-11-30 20:00:00,0.554821
2022-11-30 21:00:00,0.57489216
2022-11-30 22:00:00,0.48754013
2022-11-30 23:00:00,0.26685756
2022-12-01 00:00:00,-0.0429462
2022-12-01 01:00:00,-0.33741716
2022-12-01 02:00:00,-0.5722061
2022-12-01 03:00:00,-0.6960089
2022-12-01 04:00:00,-0.6905731
2022-12-01 05:00:00,-0.5659827
2022-12-01 06:00:00,-0.3258601
2022-12-01 07:00:00,-0.044071123
2022-12-01 08:00:00,0.1985117
2022-12-01 09:00:00,0.34286085
2022-12-01 10:00:00,0.39514756
2022-12-01 11:00:00,0.32008514
2022-12-01 12:00:00,0.12886009
2022-12-01 13:00:00,-0.10839897
2022-12-01 14:00:00,-0.31574723
2022-12-01 15:00:00,-0.44997227
2022-12-01 16:00:00,-0.48048067
2022-12-01 17:00:00,-0.3925138
2022-12-01 18:00:00,-0.19576657
2022-12-01 19:00:00,0.04798398
2022-12-01 20:00:00,0.2821602
2022-12-01 21:00:00,0.44822502
2022-12-01 22:00:00,0.51124716
2022-12-01 23:00:00,0.46308416
2022-12-02 00:00:00,0.27255777
2022-12-02 01:00:00,-0.019981531
2022-12-02 02:00:00,-0.3217211
2022-12-02 03:00:00,-0.56532663
2022-12-02 04:00:00,-0.7171815
2022-12-02 05:00:00,-0.7314373
2022-12-02 06:00:00,-0.5865985
2022-12-02 07:00:00,-0.3367764
2022-12-02 08:00:00,-0.058184557
2022-12-02 09:00:00,0.22918908
2022-12-02 10:00:00,0.40322885
2022-12-02 11:00:00,0.47693747
2022-12-02 12:00:00,0.41719854
2022-12-02 13:00:00,0.23688072
2022-12-02 14:00:00,-0.010126734
2022-12-02 15:00:00,-0.25207466
2022-12-02 16:00:00,-0.43015936
2022-12-02 17:00:00,-0.5027617
2022-12-02 18:00:00,-0.4497844
2022-12-02 19:00:00,-0.27503598
2022-12-02 20:00:00,-0.040828858
2022-12-02 21:00:00,0.20019452
2022-12-02 22:00:00,0.39518344
2022-12-02 23:00:00,0.47548547
2022-12-03 00:00:00,0.42945302
2022-12-03 01:00:00,0.24526477
2022-12-03 02:00:00,-0.04512475
2022-12-03 03:00:00,-0.35817158
2022-12-03 04:00:00,-0.62021667
2022-12-03 05:00:00,-0.7745082
2022-12-03 06:00:00,-0.7707701
2022-12-03 07:00:00,-0.6098485
2022-12-03 08:00:00,-0.32987028
2022-12-03 09:00:00,-0.022377066
2022-12-03 10:00:00,0.29784876
2022-12-03 11:00:00,0.49261144
2022-12-03 12:00:00,0.57270133
2022-12-03 13:00:00,0.5110165
2022-12-03 14:00:00,0.30936158
2022-12-03 15:00:00,0.018847702
2022-12-03 16:00:00,-0.26337925
2022-12-03 17:00:00,-0.4737672
2022-12-03 18:00:00,-0.57440424
2022-12-03 19:00:00,-0.53035706
2022-12-03 20:00:00,-0.3489375
2022-12-03 21:00:00,-0.10840145
2022-12-03 22:00:00,0.14730665
2022-12-03 23:00:00,0.37366617
2022-12-04 00:00:00,0.46345752
2022-12-04 01:00:00,0.40337306
2022-12-04 02:00:00,0.20385638
2022-12-04 03:00:00,-0.10482672
2022-12-04 04:00:00,-0.44998592
2022-12-04 05:00:00,-0.72269493
2022-12-04 06:00:00,-0.8490515
2022-12-04 07:00:00,-0.7999471
2022-12-04 08:00:00,-0.60693467
2022-12-04 09:00:00,-0.28004655
2022-12-04 10:00:00,0.05888462
2022-12-04 11:00:00,0.39368108
2022-12-04 12:00:00,0.59848803
2022-12-04 13:00:00,0.65848976
2022-12-04 14:00:00,0.56504834
2022-12-04 15:00:00,0.31660986
2022-12-04 16:00:00,-0.026938688
2022-12-04 17:00:00,-0.3462028
2022-12-04 18:00:00,-0.5666215
2022-12-04 19:00:00,-0.6663844
2022-12-04 20:00:00,-0.59479195
2022-12-04 21:00:00,-0.38299268
2022-12-04 22:00:00,-0.12574881
2022-12-04 23:00:00,0.1625757
2022-12-05 00:00:00,0.3796872
2022-12-05 01:00:00,0.43795598
2022-12-05 02:00:00,0.35350668
2022-12-05 03:00:00,0.114178844
2022-12-05 04:00:00,-0.25062776
2022-12-05 05:00:00,-0.5946093
2022-12-05 06:00:00,-0.8360718
2022-12-05 07:00:00,-0.9106539
2022-12-05 08:00:00,-0.80859536
2022-12-05 09:00:00,-0.5523514
2022-12-05 10:00:00,-0.19085011
2022-12-05 11:00:00,0.18634044
2022-12-05 12:00:00,0.52757275
2022-12-05 13:00:00,0.7059818
2022-12-05 14:00:00,0.72023416
2022-12-05 15:00:00,0.5645641
2022-12-05 16:00:00,0.24437085
2022-12-05 17:00:00,-0.14332025
2022-12-05 18:00:00,-0.45943236
2022-12-05 19:00:00,-0.67003965
2022-12-05 20:00:00,-0.72824216
2022-12-05 21:00:00,-0.6047579
2022-12-05 22:00:00,-0.3491345
2022-12-05 23:00:00,-0.059648238
2022-12-06 00:00:00,0.24349393
